,name,artist,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
75,Nothing Has Changed,The Polar Boys,214203,0.464,0.0206,0.773,0.013,0.362,-5.946,0.0463,145.042
76,Blue Hundreds,Holy Mattress Money,216000,0.798,0.368,0.508,3.21e-06,0.265,-6.989,0.0526,110.012
77,Side Eyes,Awfbeat,263262,0.821,0.0884,0.818,3.9e-06,0.126,-4.421,0.0675,129.977
78,Good Morning,Various Artists,254440,0.444,0.723,0.42,3.77e-05,0.123,-9.85,0.0495,105.751
79,Singin' In The Rain,Various Artists,256160,0.384,0.869,0.222,5.51e-05,0.159,-15.76,0.0351,135.68
80,Stella Brown,Jelani Aryeh,187415,0.724,0.211,0.48,0.0772,0.289,-7.537,0.0342,125.007
81,I Just Wanna Shine,Fitz and The Tantrums,207925,0.705,0.04,0.918,9.3e-05,0.0803,-2.77,0.0684,92.511
82,Dancing My Way,Wyn Starks,184848,0.714,0.445,0.708,7.11e-05,0.225,-7.398,0.178,168.825
83,Good Vibes,HRVY,170280,0.558,0.274,0.877,0.0,0.162,-3.392,0.145,99.988
84,Overthinking,The Astronomers,165750,0.572,0.166,0.633,0.0,0.0819,-7.688,0.0625,160.543
85,Way Less Sad,AJR,206108,0.701,0.00843,0.547,0.0,0.0987,-8.238,0.0483,140.015
86,Be Kind,Zak Abel,181516,0.929,0.068,0.67,0.0,0.318,-3.977,0.0488,120.935
87,Kiss Me More (feat. SZA),Doja Cat,208866,0.762,0.235,0.701,0.000158,0.123,-3.541,0.0286,110.968
88,Don't Lose Sight,Lawrence,208066,0.537,0.0774,0.742,6.48e-06,0.147,-5.075,0.234,153.8
89,When I'm Gone,Jaychef,220487,0.814,0.39,0.631,0.0,0.0784,-7.91,0.0683,122.991
90,Cloudy Day,Tones And I,185303,0.705,0.0643,0.776,2.81e-06,0.0246,-6.096,0.0445,116.011
91,I'm Good,The Mowgli's,166893,0.612,0.0115,0.921,0.0,0.166,-5.338,0.0705,96.042
92,I Feel Good About This,The Mowgli's,201527,0.525,0.00428,0.841,0.0,0.146,-6.053,0.0419,119.864
93,It's All Happening,Saint Motel,180186,0.618,0.0028,0.662,0.000724,0.107,-4.797,0.0262,127.985
94,Feel Good,Saint Motel,199440,0.655,0.00403,0.767,0.0,0.287,-4.537,0.0481,120.044
95,Talk Too Much,COIN,187133,0.598,0.00947,0.888,0.0,0.347,-5.119,0.0807,103.966
96,Crash My Car,COIN,188306,0.244,0.00178,0.645,0.00574,0.301,-5.863,0.0456,183.577
97,SUPERBLOOM,MisterWives,213546,0.558,0.191,0.889,0.000387,0.328,-3.945,0.102,170.102
98,Judy You Hung the Moon,HARBOUR,210000,0.65,0.507,0.648,0.0,0.0901,-7.702,0.0335,139.989
99,Soco,HARBOUR,150291,0.613,0.0456,0.754,4.17e-05,0.0761,-7.467,0.0481,175.884
100,Get You High,HARBOUR,234176,0.463,0.0421,0.742,4.69e-06,0.331,-6.143,0.0396,169.93
101,Dancing in the Moonlight,Toploader,232693,0.632,0.0624,0.856,0.0,0.347,-3.463,0.0348,119.397
102,Saturday,Twenty One Pilots,172232,0.687,0.00396,0.89,0.000939,0.0436,-5.99,0.0344,113.06
103,Good Day,Twenty One Pilots,204400,0.684,0.11,0.677,0.00975,0.34,-7.355,0.0401,142.048
104,Uptown Funk (feat. Bruno Mars),Mark Ronson,269666,0.856,0.00801,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988
105,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,236001,0.666,0.0123,0.83,0.0,0.191,-5.715,0.0751,113.03
106,Shut Up and Dance,WALK THE MOON,199080,0.578,0.00701,0.866,0.0,0.257,-3.804,0.0619,128.038
107,Don't Stop Believin',Journey,250986,0.5,0.127,0.748,0.0,0.447,-9.072,0.0363,118.852
108,Eye of the Tiger,Various Artists,245640,0.817,0.132,0.599,0.000311,0.0873,-9.249,0.0328,108.873
109,Shake It Off,Taylor Swift,219200,0.647,0.0647,0.8,0.0,0.334,-5.384,0.165,160.078
110,All Star,Smash Mouth,200373,0.731,0.0395,0.867,0.0,0.0861,-5.881,0.032,104.019
111,Wake Me Up,Avicii,247426,0.532,0.0038,0.783,0.0012,0.161,-5.697,0.0523,124.08
112,Party In The U.S.A.,Miley Cyrus,202066,0.652,0.00112,0.698,0.000115,0.0886,-4.667,0.042,96.021
113,I Gotta Feeling,Black Eyed Peas,289133,0.743,0.0873,0.766,0.0,0.509,-6.375,0.0265,127.96
114,Good Vibrations,Marky Mark And The Funky Bunch,269306,0.711,0.00189,0.951,0.366,0.0229,-8.406,0.0537,121.656
115,Footloose,Kenny Loggins,220706,0.546,0.0819,0.895,1.42e-05,0.0768,-7.189,0.0579,174.089
116,Pump It,Black Eyed Peas,213066,0.648,0.00937,0.931,0.0,0.752,-3.15,0.181,153.649
117,I Will Survive,Gloria Gaynor,296106,0.77,0.0227,0.775,0.00262,0.297,-9.571,0.0495,116.935
118,Shiny Happy People,R.E.M.,225786,0.452,0.0313,0.909,0.0603,0.23,-3.977,0.0366,124.623
119,Livin' On A Prayer,Bon Jovi,249293,0.532,0.0778,0.887,0.000214,0.294,-3.757,0.0335,122.511
120,Take on Me,a-ha,225280,0.573,0.018,0.902,0.00125,0.0928,-7.638,0.054,84.412
121,What Makes You Beautiful,One Direction,199986,0.726,0.009,0.787,0.0,0.0596,-2.494,0.0737,124.99
122,Fight Song,Rachel Platten,204013,0.564,0.0549,0.714,0.0,0.155,-4.987,0.129,175.924
123,Raise Your Glass,P!nk,202960,0.7,0.0048,0.709,0.0,0.029,-5.006,0.0838,122.019
124,Dancing Queen,ABBA,230400,0.543,0.358,0.87,0.000939,0.792,-6.514,0.0428,100.804
125,On The Floor,Jennifer Lopez,284866,0.73,0.105,0.777,0.000478,0.0691,-5.194,0.0496,130.0
126,Firework,Katy Perry,227893,0.638,0.141,0.832,0.0,0.113,-5.039,0.049,124.071
127,Dynamite,Taio Cruz,202613,0.751,0.00379,0.783,0.0,0.036,-3.724,0.0859,119.975
128,Hips Don't Lie (feat. Wyclef Jean),Shakira,218093,0.778,0.284,0.824,0.0,0.405,-5.892,0.0707,100.024
129,No Lie,Sean Paul,221176,0.742,0.0466,0.882,0.0,0.206,-2.862,0.117,102.04
