,name,artist,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
104,"My Heart Will Go On - Love Theme from ""Titanic""",James Horner,310706,0.157,0.801,0.119,0.000998,0.126,-20.156,0.036,67.005
105,Hymn to the Sea,James Horner,385720,0.161,0.798,0.085,0.446,0.0941,-22.069,0.0415,109.161
106,Your Song,Elton John,241786,0.554,0.828,0.315,5.53e-06,0.101,-11.028,0.0298,128.157
107,Dust in the Wind,Kansas,206266,0.475,0.367,0.322,0.00056,0.11,-10.687,0.0283,93.503
108,Here Comes The Sun - Remastered 2009,The Beatles,185733,0.557,0.0339,0.54,0.00248,0.179,-10.484,0.0347,129.171
109,Fields Of Gold,Sting,222120,0.651,0.372,0.339,0.0141,0.0739,-11.917,0.0246,103.996
110,Unchained Melody,The Righteous Brothers,218013,0.339,0.396,0.208,0.000519,0.18,-16.725,0.0308,98.54
111,She,Elvis Costello,187720,0.333,0.427,0.28,1.88e-06,0.13,-12.87,0.032,130.876
112,Nothing Compares 2 U,Sinéad O'Connor,280040,0.512,0.0425,0.574,2.31e-05,0.105,-7.016,0.0273,119.917
113,True Colors,Cyndi Lauper,227600,0.397,0.701,0.207,3.07e-05,0.116,-13.155,0.0331,171.282
114,Dream A Little Dream Of Me,The Mamas & The Papas,194426,0.413,0.791,0.313,1.5e-06,0.0727,-13.138,0.0519,92.515
115,Lover's Spit,Broken Social Scene,382240,0.327,0.00183,0.585,0.281,0.0588,-6.957,0.0287,77.537
116,Breathe Me,Sia,272800,0.552,0.0364,0.643,0.74,0.105,-7.36,0.0327,120.012
117,"Lullabye (Goodnight, My Angel)",Billy Joel,214400,0.442,0.948,0.157,0.0,0.224,-13.791,0.0324,76.48
118,Angel,Sarah McLachlan,270400,0.532,0.949,0.0744,1.22e-05,0.106,-16.092,0.0355,117.131
119,Stairway to Heaven,Led Zepagain,498306,0.392,0.202,0.479,0.00533,0.0767,-6.786,0.028,97.987
120,Teardrop,Massive Attack,330773,0.615,0.0173,0.419,0.497,0.135,-8.8,0.0395,76.997
121,The Blower's Daughter,Damien Rice,286653,0.342,0.134,0.2,0.000153,0.341,-13.569,0.0324,133.113
122,Layla - Acoustic Live,Eric Clapton,289026,0.559,0.318,0.524,0.00094,0.933,-11.64,0.0462,93.85
123,A Case of You,Various Artists,263480,0.693,0.9,0.201,0.0,0.112,-9.903,0.0288,100.836
124,Both Sides Now,Various Artists,273573,0.621,0.925,0.238,1.22e-06,0.124,-10.18,0.028,97.211
125,Wicked Game,Chris Isaak,289066,0.663,0.68,0.296,0.00837,0.0879,-18.09,0.0294,112.306
126,Romeo And Juliet,Dire Straits,360666,0.613,0.546,0.441,0.0132,0.0869,-11.999,0.0309,87.573
127,A Whiter Shade of Pale,Annie Lennox,316760,0.521,0.399,0.583,0.00174,0.347,-8.451,0.0274,146.009
128,Wild Wood,Paul Weller,202266,0.594,0.418,0.224,0.0154,0.114,-15.312,0.0482,153.726
129,Alone Again (Naturally),Gilbert O'Sullivan,221373,0.558,0.625,0.528,7.49e-05,0.104,-6.265,0.032,171.797
